
Parent structure (123 P4/mmm)
a=3.92640, b=3.92640, c=15.18110, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x        y        z        occ  
O43   0.25000  0.50000  0.13118  0.0000  0.0000  1.0000 
O47   0.25000  0.50000  0.63118  0.0000  0.0000  1.0000 
 
P4/mmm[0,0,0]GM1+(a)[O9:g:dsp]A1(a) normfactor = 0.00823
O65   0.00000  0.00000  0.20187  0.0000  0.0000  1.0000 
O69   0.00000  0.00000  0.70187  0.0000  0.0000  1.0000 
O67   0.00000  0.50000  0.20187  0.0000  0.0000  1.0000 
O71   0.00000  0.50000  0.70187  0.0000  0.0000  1.0000 
O66   0.50000  0.00000  0.20187  0.0000  0.0000  1.0000 
O70   0.50000  0.00000  0.70187  0.0000  0.0000  1.0000 
O68   0.50000  0.50000  0.20187  0.0000  0.0000  1.0000 
O72   0.50000  0.50000  0.70187  0.0000  0.0000  1.0000 
O77   0.00000  0.00000  0.79813  0.0000  0.0000 -1.0000 
O73   0.00000  0.00000  0.29813  0.0000  0.0000 -1.0000 
O79   0.00000  0.50000  0.79813  0.0000  0.0000 -1.0000 
O75   0.00000  0.50000  0.29813  0.0000  0.0000 -1.0000 
O78   0.50000  0.00000  0.79813  0.0000  0.0000 -1.0000 
O74   0.50000  0.00000  0.29813  0.0000  0.0000 -1.0000 
O80   0.50000  0.50000  0.79813  0.0000  0.0000 -1.0000 
O76   0.50000  0.50000  0.29813  0.0000  0.0000 -1.0000 
 
P4/mmm[0,0,0]GM2+(a)[O5:i:dsp]A1(a) normfactor = 0.00582
O33   0.00000  0.25000  0.13118  0.0000  0.0000  1.0000 
O37   0.00000  0.25000  0.63118  0.0000  0.0000  1.0000 
O35   0.00000  0.75000  0.13118  0.0000  0.0000  1.0000 
O39   0.00000  0.75000  0.63118  0.0000  0.0000  1.0000 
O34   0.50000  0.25000  0.13118  0.0000  0.0000  1.0000 
O38   0.50000  0.25000  0.63118  0.0000  0.0000  1.0000 
O36   0.50000  0.75000  0.13118  0.0000  0.0000  1.0000 
O40   0.50000  0.75000  0.63118  0.0000  0.0000  1.0000 
